language,model,joke,reward
en,base,"Why did the sustainability officer from South Africa refuse to hire the turnip? Because even though it was young and fresh, it couldn't power the car!",6.0
en,base,Why did the drainage crew refuse to leave New Orleans during Katrina? Because the thought of facing whatever was on the other side of those floodwaters was... unimaginable!,8.0
en,base,Why did Tom Reeves raid the landlords' house? Because he heard they were hoarding deductions!,8.0
en,base,Why did the mechanical shark from Jaws bring a guitar to the repair shop? Because it wanted to tune up its two-note theme!,8.0
en,base,"Why did TikTok refuse to cross the road? Because ByteDance set its valuation so high, it became a bridge instead of a valley!",8.0
en,base,Why did the shark refuse to swim in vinegar? Because it heard the pH was sour enough to erode its teeth!,6.0
en,base,"Why did the programmer quit his job?因为他找到了更好的offer，上面写着：""No more late nights and lines of code that make you want to pull out your hair—because we value your sanity!""",8.0
en,base,Why did Taylor Swift need a ladder? Because her engagement ring was a great advert for reaching new heights in the cult of celebrity!,8.0
en,base,"Why did the Netflix algorithm go to the movie theater? To find the most bland, easy-to-follow film that would make every genre fan equally confused!",8.0
en,base,Why did the plastic bag go to therapy? Because it felt really guilty about its carbon footprint after the breakthrough in Australian soft plastics recycling!,8.0
en,base,Why did the British expat refuse to cross the road? Because he heard the French have better pension tax bills!,6.0
en,base,"Why did the tennis player get kicked out of the US Open? Because he tried to serve an ""education"" to his opponent!",8.0
en,base,Why did the Mexican Senator refuse to shake hands after the debate? Because he already punched his points across!,8.0
en,base,"Why did the city plant vines on the buildings? Because they heard it was a perfect symbiosis, and now the concrete jungles are growing some green lungs!",8.0
en,base,Why did the tennis player refuse to shake hands after winning the match? Because every handshake feels like a surrender in elite sport!,8.0
en,base,Why did the Tesla refuse to carpool with Waymo's robotaxi? Because it believed in individual vehicle superiority and didn't want to share the ride—or the road!,8.0
en,base,Why did the influencer stop going on free trips? Because SARS said they now count as taxable income—talk about a trip to nowhere!,8.0
en,base,Why did the tornado go to therapy? Because it had a twister in its past!,6.0
en,base,Why did Manchester United need a new thermostat? Because Old Trafford was getting drafty even when Grimsby Town was visiting!,8.0
en,base,Why did the chair need spray? Because it had a bad case of four-legged stool syndrome!,6.0
en,base,Why did the banana need a hammer? To smash its identity as a fruit and become a percussion instrument in a tropical band!,6.0
en,base,Why did the fridge need help moving? Because it was a cold case!,6.0
en,base,Why did the pumpkin need a hammer? To give it a squash!,2.0
en,base,Why did the pumpkin go to the doctor? Because it wasn't feeling too peely!,6.0
en,base,Why did the book refuse to go into the microwave? It didn't want to be cooked up and pieced together again!,10.0
en,base,Why did the door go to the spray tan salon? To get a little more open!,6.0
en,base,Why did the pizza need to be measured? Because it was being put into a quantum physics experiment!,6.0
en,base,Why did the fridge need to be un plugged? Because it was losing its chill!,6.0
en,base,Why did the phone go to the gym? To weigh-lift its confidence!,6.0
en,base,Why did the tomato need to be deseeded? Because it wanted to become a flatbread!,2.0
en,base,Why did the cup need spray? Because it overheard the sink talking about a leaky roof!,6.0
en,base,Why did the close button refuse to work on the blender? Because it was tied up in knots!,6.0
en,base,Why did the tomato need a hammer? To give it a crush!,2.0
en,base,Why did the pumpkin refuse to use a regular blender? Because it heard the blend could turn it into pumpkin pie seasoning!,6.0
en,base,Why did the laptop refuse to go in the microwave? It didn't want to risk a crash!,6.0
en,base,Why did the drill go to the doctor? Because it was egg-cellerent at breaking eggs!,6.0
en,base,Why did the peel break up with the coconut? Because it couldn't handle all the splitting!,6.0
en,base,Why did the person cut their shoes? To improve their stride!,6.0
en,base,Why did the watermelon refuse to weigh itself? Because it didn't want tomelonize its problems!,6.0
en,base,Why did the hammer break into the fridge? To get into a cold smith's arms!,6.0
en,base,Why did the open blender go to the doctor? Because it felt mixed up!,6.0
en,base,Why did the coconut need a knife? Because it wanted to get a little cut for the Halloween party!,6.0
en,base,Why did the bacon need to be measured? Because the pan said it was feeling a little saucy!,6.0
en,base,Why did the fridge need to drop by? To get its cheese-level checked!,6.0
en,base,Why did the pumpkin refuse to be measured? Because it didn't want its girth!,6.0
en,base,Why did the laptop need a haircut? Because its battery was getting cut short!,6.0
en,base,Why did the keyboard get sent to the wash? Because it was catching a lot of key-presses!,6.0
en,base,Why did the tree shake hands with everyone? Because it wanted to make a trunk connection!,6.0
en,base,Why did the potato roll over the cliff? Because it heard the potatoes were higher up in the air!,6.0
en,base,Why did the phone refuse to go to the beach party? Because it didn't want to be thrown to the sharks!,6.0
en,base,Why did the orange refuse to play catch? Because it didn't want to be thrown for a loop!,6.0
en,base,Why did the fry go to therapy? Because his phone was deep-fried!,6.0
en,base,Why did the hammer go to the microwave? To get zapped for its efforts!,8.0
en,base,Why did the phone unplug itself from the charger? To give its wall socket a call and check if it was still in use!,8.0
en,base,Why did the pumpkin refuse to weigh itself? Because it didn't want to squash its ego.,6.0
en,base,Why did the microwave go to the measuring cup? To get its liquid level checked!,6.0
en,base,"Why did the tomato weigh itself? To see if it was ripe or just a little ""sauce""!",8.0
en,base,Why did the watermelon fail its measure test? Because it couldn't stop being so juicy and keep its edges!,6.0
en,base,Why did the spoon go to the gym? To throw itself into fitness!,6.0
en,base,Why did the microwave break up with the shoes? Because it couldn't put on the relationship-blankets!,6.0
en,base,Why did the shirt throw itself in the laundry? Because it wanted to get a little wearable again!,6.0
en,base,Why did the measuring cup get fired from the oven?因为它总是过度“量”热衷于加热，没有控制“度”！（因为它总是过度测量热量，没有掌握好度！）,8.0
en,base,Why did the egg need to drink more than usual? Because it was laying down a lot!,6.0
en,base,Why did the cookie throw itself in the oven? To get a little crumble!,2.0
en,base,Why did the phone go to the gym? To get into its blend!,6.0
en,base,Why did the hammer go to the car dealership? To pound some tires!,6.0
en,base,Why did the drill go to the bottle? To get its holes sorted!,10.0
en,base,"Why did the towel cut itself into smaller pieces? To have quicker access to the ""fold""!",8.0
en,base,Why did the hammer go to the shoe store? To get some ankle weights!,6.0
en,base,Why did the egg need a hammer? To crack jokes!,2.0
en,base,Why did the hammer break up with the phone? Because it couldn't text any nails!,6.0
en,base,Why did the cucumber refuse to go near the water? Because it didn't want to get pickled while just washing its veggies!,6.0
en,base,Why did the table go to the gym? To get a shake-lean build!,6.0
en,base,"Why did the watermelon need to wash its hands? Because it accidentally got ""berry"" messy!",6.0
en,base,Why did the book need a spray? Because it had too many page-meal stains!,6.0
en,base,Why did the person put their shirt in the microwave? To wash it without going to the laundromat!,8.0
en,base,Why did the open fridge go to the doctor? Because it had an un锁的门! (unopened door!),6.0
en,base,Why did the microwave go to the gym? To get a move on his weight!,8.0
en,base,Why did the man bring a ladder to measure his shoes? Because he heard tall tales about big feet!,8.0
en,base,"Why did the car need a pair of scissors? Because it had a window stuck, and it wasn't a car without its windows, you cut it out!",8.0
en,base,Why did the washcloth refuse to clean the window? Because it didn't want to get its towel wet!,6.0
en,base,Why did the tomato need to wash its face? Because it was a little beet-red!,2.0
en,base,Why did the flower refuse to be thrown? Because it had delicate petals that couldn't handle being tossed around!,6.0
en,base,Why did the rock need to wash its hands? Because it was mountain-sick!,6.0
en,base,Why did the corn go to the doctor? Because it needed to get its peel-odic issues sorted!,6.0
en,base,Why did the book need to be weighed down? Because it was losing its page-power!,6.0
en,base,Why did the microwave go to the beach? To get its spray tan!,6.0
en,base,Why did the carrot roll to the edge of the table? Because it wanted to be a little carrothead!,6.0
en,base,Why did the keyboard need a pair of scissors? Because it heard the mouse was cutting in on all the typing action!,6.0
en,base,Why did the egg need a scale? To check if it weighed enough to crack a joke!,6.0
en,base,"Why did the fridge need a washcloth? Because it had a cold, damp corner!",6.0
en,base,Why did the blender go to the doctor? Because it was feeling a little unplug-ed!,6.0
en,base,"Why did the banana weigh less than its peel? Because it went on a peel-ectomy and lost some ""skin""!",6.0
en,base,Why did the door go to the washateria? To get a little towel action!,6.0
en,base,Why did the flower refuse to be measured? Because it didn't want its petals torn apart!,6.0
en,base,Why did the bottle go to the gym? To weigh more!,6.0
en,base,Why did the phone need a pair of scissors? Because it had a lot of unsolicited calls to cut!,6.0
en,base,Why did the apple refuse to go near the water? Because it didn't want to wash away its core values!,6.0
en,base,Why did the pumpkin need scissors? Because it was tired of being just a cut above the rest!,6.0
en,base,Why did the towel go to the wash? Because it wanted to become a little less fluffy and a lot more clean!,10.0
en,base,Why did the hammer avoid the keyboard? Because it didn't want to crack heads!,6.0
en,base,Why did the table go to the barber? Because it heard the spray could give it a stylish new look!,6.0
en,base,Why did the rock need a pair of scissors? Because it wanted to join the band and play bass!,6.0
en,base,Why did the book need a haircut? Because it was getting a little musty around the edges!,6.0
en,base,Why did the man shake his hair? To see if the glue was working!,6.0
en,base,Why did the lemon refuse to shake hands? Because it already had citrus检疫（注意：此词在英文中并无直接对应，意为“因为它已经有柠檬病了”）!,6.0
en,base,Why did the carrot refuse to be measured? Because it didn't want to be rooted!,6.0
en,base,Why did the hammer go to the bar? To meet the bottle!,2.0
en,base,Why did the blender go to the wash? To get its ingredients mixed!,6.0
en,base,"Why did the close-minded person bump into the fridge? Because he refused to accept开门见山! (straightforward solutions don't work here, so I'll translate literally) narrow perspectives!",6.0
en,base,Why did the oven need to wash its hands? Because it was feeling a bit bake-ish!,6.0
en,base,Why did the coconut need a hammer? To crack up!,2.0
en,base,"Why did the laptop go to the measuring station? To get its screen size measured because it was feeling a bit ""monitor""-ly challenged!",8.0
en,base,Why did the tomato shake its head? Because it heard someone was making ketchup!,2.0
en,base,Why did the chair need a wash? Because it had a splinter-rub and needed to soak the pain away!,6.0
en,base,Why did the hammer refuse to eat the watermelon? Because it already had a lot of nuts!,6.0
en,base,"Why did the farmer spray eggs on the wall? To create a cheap, yet sticky, spider deterrent!",6.0
en,base,Why did the flower go to the gym? To get a shake and a leaf!,2.0
en,base,Why did the tree need to move? Because it was tired of its leafy hat blocking the sunshine!,6.0
en,base,Why did the chef break up with the calendar? Because he found out she was recipes and dates all wrong!,8.0
en,base,Why did the candidate refuse to shake the journalist's hand? Because he heard the latest key takeaway is to avoid all physical contact!,8.0
en,base,Why did the French prime minister resign? Because the euro slid down the drain!,6.0
en,base,"Why did the nurse refuse to take David Muir's daughter for ice cream after the game? Because she was still on a sugar detox—and sugar was what she called David Muir's dad's condition, not the sweet stuff!",8.0
en,base,"Why did the movie ""The Sound of Music"" refuse to go to the movies with the grandparents? Because it already knew all the songs!",8.0
en,base,Why did the ancient Egyptian bracelet join the gym? To get a little bit of wrist and melt down some calories!,8.0
en,base,Why did Mercury try to even the series with the Lynx? Because she heard Wilson from the Aces was starring in a funny play-on-words show!,6.0
en,base,Why did the supply chain manager refuse to go on a boat? Because he heard it was full of phishing sails and malware anchors!,8.0
en,base,Why did the cyclist bring fifteen knives to the lock store? Because he heard the best locks were guarded by the most determined bikers... or so he thought after cutting up 15 of them!,8.0
en,base,Why did Abraham Lincoln join the wrestling hall of fame? Because he bet his friend he couldn't pin a really tall guy... and he won the bet by just making him sit on a chair!,8.0
en,base,Why did David Szalay refuse to cross the Canadian border? Because he heard the waiting list for the Booker Prize was quite long!,8.0
en,base,Why did the government need a ladder in August? Because it kept climbing into debt!,6.0
en,base,Why did the bottle refuse to fly on the Dublin Airport flight? Because it didn't want to risk being part of a liquid collection under 100ml!,8.0
en,base,"Why did the BBC correspondent compare Donald Trump to a used car salesman during his state visit? Because after the visit, everyone was left wondering, ""Was it worth it... in miles?""",0.0
en,base,"Why did Ophelia from ""The Fate of Ophelia"" music video refuse to cross the stream? Because she heard the water was full of madmen and drowned poets!",8.0
en,base,"Why did the French prime minister quit? Because he couldn't stand being called ""the interim leader"" for longer than a bottle of French wine!",8.0
en,base,"Why did Harry need a special shield during the AIDs campaign? Because there's a rumor he can't cast the ""No More Taboos"" spell!",8.0
en,base,Why did the Syrian parliamentarian cross the road? To vote for more checkpoints on the way to his house!,8.0
en,base,Why did the protestors refuse to use Facebook? Because they don't want to give their likes to Macron!,8.0
en,base,"Why did the vegan couple refuse to play cards with the family? Because someone always tries to ""improve"" the deck!",8.0
en,base,"Why did Monet keep painting the beach in Trouville? Because every time he visited, the sea would say, ""Wave, wave, immortalize me!"" and he just couldn't resist capturing its eternal charm.",8.0
en,base,"Why did Trump's TV critics hide in a cabbage patch? To avoid being ""maybe"" licensed!",8.0
en,base,Why did the crossword puzzle cross the road? To get to the easy mode on the other side!,6.0
en,base,Why did the ocean ratify the treaty? Because it finally got fed up with all the land trying to pollute its waters!,8.0
en,base,Why did Derek Thompson refuse to go to the party? Because he heard it was filled with stark declines and worrying statistics—clearly not his speed!,8.0
en,base,Why did the Democrat chicken cross the road in The Villages? To get away from the tea party turtle!,6.0
en,base,Why did the hacker get arrested at the airport? Because he tried to check his luggage with a malware-infested hard drive!,8.0
en,base,"Why did the Eagle fly away after the game? Because it got a butt-ouch from the Chiefs, and the NFL said it was okay!",8.0
en,base,"Why did SafeSport decide to improve communication about potential for long cases? Because they didn't want athletes to keep asking, ""When does this case end? Are we there yet? When can I watch Netflix?""",0.0
en,base,"Why did the actor from ""Slow Horses"" refuse to play the directeur in the Asian part? Because he heard the lines were all, ""Directors would be like: this is the Asian part... and then they'd look at him!""",8.0
en,base,Why did the news anchor refuse to go to bed? Because he wanted to catch up on his big news and wind down with some late-night trivia!,8.0
en,base,"Why did Bill Murray, Jennifer Coolidge, and Ed Harris decide to star in the same movie? Because they heard it was a ""star-stuffed"" crime comedy... and they didn't want to be left out of the raffle for the best lines!",8.0
en,base,Why did the planet apply for a job at a gas station? It was really good at sucking in 6 billion tons of gas and dust every second!,8.0
en,base,Why did the dad try to re-program his heart? Because he heard love-injections only work on queers!,6.0
en,base,Why did Taylor Swift's latest album need a decoder ring? Because her songs were full of secret messages for her frenemies and Jenn Gannon was getting all the fun clues!,8.0
en,base,"Why did the quarterback from the Bills only bring one football to the game? Because he heard the Dolphins had a tough defense, and he wanted to make sure he had the element of surprise—31-21!",8.0
en,base,Why did Rite Aid cross the road? To get closer to bankruptcy court!,6.0
en,base,Why did the Calgary Flames say no to Dillon Dube coming back to the team? Because they heard he was bringing his own hockey stick—along with a suitcase full of souvenirs from his last visit!,8.0
en,base,Why did the sake from Yokohama refuse to go to Kyoto's sake party? Because it didn't want to risk being traditional by the sea!,8.0
en,base,"Why did the American want health insurance just before shutdown? Because the tax credits were about to expire, and he didn't want to be caught in a coverage gap—like a uninsured clown at a shut-down circus!",8.0
en,base,Why did the news anchor refuse to read the story about global warming? Because he didn't want to finish his 20-minute daily dose of climate change!,8.0
en,base,Why did the pasta refuse to be served? Because it heard it was the gnocchi (not even a real pasta shape)!,6.0
en,base,"Why was Queen Elizabeth I so hated? Because every time someone said she was vain, she just smiled and said, ""Why, I'm nothing without my makeup!""",8.0
en,base,"Why did the midwife from the maternity unit where she was born refuse to play hide and seek? Because every time she hid, she ended up in the delivery room!",8.0
en,base,Why did the neuron refuse to retire? Because it had a never-ending memory!,6.0
en,base,Why did the regulator cross the road to approve the $6.2B takeover of Minnesota Power? To get away from the kilowatt puns!,8.0
en,base,Why did the superintendent refuse to sign the PTA minutes? Because he heard the school district was pursuing legal action after he was detained by ICE!,8.0
en,base,Why did Manchán Magan refuse to do his final interview? Because he heard the last question would be about his shoe size!,8.0
en,base,Why did the vacuum cleaner go to school? To learn how to suck up all the answers and keep everything in the house squeaky clean!,8.0
en,base,"Why did the Optus customer try to call triple-0 again? Because the ambulance was on the fritz yet again, and he didn't want to wait for the bike cop to arrive!",8.0
en,base,"Why did the avocado go to therapy? Because it felt a little ""guacamole"" about its health and wellness journey!",6.0
en,base,"Why did the blind dog apply for a job as a conductor? He was known as the ""Hot Mess Express"" and wanted to keep his own schedule!",8.0
en,base,Why didn't the tax on socks make it into the Budget 2026? Because even the government knows you can't charge people for something they wear away!,8.0
en,base,"Why did the B.C. ferry refuse to stop at Eby's pier? Because the federal treatment of ferry passengers was clearly unfair, even to pipelines!",8.0
en,base,Why did the back pain therapist recommend more yoga classes than MRI scans? Because treating back pain sometimes requires more core strengthening and less spinal tinkering!,8.0
en,base,Why did Gen Z put their grass on a leash? Because they heard it was the new way to get exercise without leaving the house!,6.0
en,base,Why did the fashion model refuse to wear the leaf outfit? Because she heard it was only trending in the fall!,6.0
en,base,"Why did the new archbishop refuse fish sticks? Because even as Pope's pick, he prefers his seafood fresh and complains about being ""pope-ducted"" into the role!",8.0
en,base,Why did Mohamed Salah need a map? Because Danny Murphy keeps pointing out he's lost his way defending!,8.0
en,base,Why did Daniel Ek refuse to let the genie out of the bottle? Because he wanted to stay in control of the music!,8.0
en,base,"Why did the car factory refuse to take no for an answer? Because it was still running on British values, even after being disrupted by cyberattacks that also scrambled the grocery supply—talk about a recipe for disaster!",8.0
en,base,Why did the robot vacuum from Dreame's L40s clean under the bed? Because it heard there was a party and wanted in on the dust mite action!,8.0
en,base,Why did the photographer get arrested while documenting underground raves? Because he couldn't shake off the deep puddle!,8.0
en,base,Why did the concert go to a broker's house? Because Live Nation and Ticketmaster thought it was already resold and didn't realize it was their own party still looking for a venue!,8.0
en,base,"Why did the tomato turn red? Because Trump put a tariff on its cousins, the potatoes, and the whole produce section felt the heat!",8.0
en,base,Why did the mushroom go to therapy? Because it was feeling a little fungi-nated about reconnecting with nature!,6.0
en,base,Why did the Egyptian god Ra refuse to help find the missing pharaoh's bracelet? Because he heard it had been turned into sun-rays and was already on vacation!,8.0
en,base,"Why did the AI cross the road? To warn James Cameron not to use ""not sci-fi anymore"" as an excuse for his next movie's delays!",8.0
en,base,"Why did the analyst's pet plant die? Because the analyst decided to implement ""cost-cutting"" and only watered it once every two months!",8.0
en,base,Why did Byron Bay implement a holiday rental cap? To prevent too many people from staying and not-payinging for their own barbecues!,8.0
en,base,Why did the father decide to deliver his baby on the doorstep of the Texas hospital? Because he heard they had great doorbell installation services!,8.0
en,base,Why did the Ace prefer playing basketball over poker? Because the Mercury kept folding!,6.0
en,base,"Why did the NASA Webb Telescope refuse to go to Mars? Because it heard Mars had a big telescope party, and there would be no otherworldly images left for it to take!",8.0
en,base,"Why did ""To Kill a Mockingbird"" refuse to be on any school's reading list? Because it couldn't shake off its reputation as the Great American Guilt Trip!",8.0
en,base,Why did the cheese go on vacation? Because it heard about the amazing cheddar farms in Switzerland and was melting with excitement!,6.0
en,base,"Why did the real estate mogul from Abu Dhabi go to the bank? To get a mortgage on cheaper homes, but the banker said, ""We're not giving out credit for concrete castles anymore!""",8.0
en,base,Why did the supermoon go to therapy? Because it had a full range of issues!,6.0
en,base,"Why did Gordon Ramsay call the police? Because someone dialed 911 and said, ""There's too much salt in my pasta!""",8.0
en,base,Why did the retirement planner get attacked online? Because he planned to retire by 35 and forgot to bring his armor!,6.0
en,base,Why did the asthmatic join a choir? Because he heard they were looking for someone with a coughing range!,8.0
en,base,"Why did the man avoid walking through the petrol station? Because he heard it was about to have a ""crash"" and he didn't want to get fuel on his shirt!",8.0
