language,model,joke,ev_reward,composite_reward
en,base,"Why did Taylor Swift break up with her ex? Because he listened to ""1989"" on repeat and never invited her to any of his ""Red"" parties! Now she's engaged, which means her new relationship might inspire a whole album of relationship advice songs... or just more breakup anthems. What does that mean for her fans' love lives? They're either getting married or writing their own breakup songs in their garage!",7.407874584197998,-1.5
en,base,Why did the UK beef farmer bring a ladder to the farm? Because his cows kept saying they were sheep-tired!,6.012816429138184,6.112816429138183
en,base,Why did the sandwich refuse to plead in court? Because it was a free agent!,5.322466850280762,5.822466850280762
en,base,"Why did the bullet train go to the history museum? To see if it could time-travel back 1,200 years... but instead, it just got stuck in the parking lot for two hours!",6.901573181152344,6.401573181152344
en,base,Why did the tram refuse to retire? Because it had a whole century of traffic under its belt!,6.405993461608887,6.7059934616088865
en,base,Why did Deion Sanders start coaching at colleges? To turn his players into speed demons... and maybe a few defensive backs who can also return kicks!,6.9644317626953125,6.4644317626953125
en,base,Why did the Zimbabwean accountant go to prison? Because he couldn't balance his books without using a chainsaw!,5.875860214233398,6.175860214233398
en,base,"Why did the scientist go to Heard Island? To study the flu, but I heard he caught a chill instead!",6.949000835418701,7.036500835418701
en,base,Why did Jason Kelce get into a feud with his own brother? Because he couldn't stand hearing about the proposal heard 'round the world every time he turned on the TV!,6.494204521179199,5.994204521179199
en,base,Why did Watership Down try to hop onto the list of greatest animated films? Because it had all the bunnies and none of the carrots!,6.063239097595215,5.563239097595215
en,base,Why did the crab cross the road in southern Malaysia? To get away from the crabs who were building condos on their favorite digging spots!,6.4688215255737305,5.9688215255737305
en,base,Why did Ridley Scott refuse $20 million for directing Terminator 3? Because he thought the script called for too many scenes of him spreading cherry jam on toast!,7.521519660949707,7.021519660949707
en,base,Why did the quantum physicist refuse to go to the party? Because he heard there were too many universes to choose from!,7.21273946762085,7.11273946762085
en,base,Why did Taylor Swift's engagement ring need to see a jeweler? Because even Rome's oldest jewelry store couldn't estimate its cost without an appointment!,6.790125846862793,6.48804251352946
en,base,Why don't airplanes have wifi? Because they're afraid of leggiewifi and sweatspots!,5.63862943649292,6.13862943649292
en,base,Why did Mount Fuji need an AI? Because it wanted to make a viral video and didn't want to use actual lava—just in case Tokyo wasn't prepared!,7.546842098236084,7.046842098236084
en,base,Why did the entrepreneur from Bellville bring a ladder to the business expo? Because he heard innovation was on the rise!,6.519680023193359,6.519680023193359
en,base,Why did the diet fail to touch the man's muscles? Because he was covered in fat resistance!,5.873086929321289,6.273086929321289
en,base,"Why was Bad Bunny nervous about acting in ""Caught Stealing""? Because he heard the director was a strict taskmaster... and he's still recovering from their last collaboration on a dance routine.",6.953363418579102,6.453363418579102
en,base,Why did the sunburned cinema manager refuse to show the Great British holiday movie? Because it was too painful to watch the characters enjoying themselves while he was still in his winter coat!,7.082483291625977,6.582483291625977
en,base,Why did the B.C. para hockey player refuse to wear socks? Because she didn't want to risk a penalty for unnecessary interference!,7.220160484313965,7.120160484313965
en,base,Why did the electric guitar go to therapy in 2025? Because it had a chord problem and needed some tuning up after Electric Picnic!,7.265270233154297,6.965270233154297
en,base,Why did the travel blogger bring a ladder to the forest? To climb out of his tent when the grizzly bear called for technical support!,6.7057204246521,6.2057204246521
en,base,Why did the La Niña refuse to go to the prom? Because she heard it was going to be a real downpour for everyone else!,6.924510955810547,6.424510955810547
en,base,Why did Bryan Johnson refuse to play hide and seek? Because he launched a company to find aging!,6.583527565002441,6.877972009446886
en,base,Why did the Klamath River decide to start a fitness program? Because it heard it was America's largest restoration project and wanted to get back in shape!,6.876605033874512,6.376605033874512
en,base,Why did the moose cross the road to get to the cheesesteak stand? To reindeer-in its hunger!,6.674342632293701,7.0743426322937015
en,base,Why did the Australian sheepdog join a band? To get to the root of the matter and play the didgeridoo!,5.776737213134766,5.876737213134765
en,base,"Why did Mr. Tuath have to emigrate before he could rent his own property? Because the rental application form kept asking if he was a permanent resident, and he couldn't check ""yes"" until after he moved in!",6.92547607421875,6.42547607421875
en,base,Why did the Asian hornet join the yoga class in Cork? To avoid bee-ing noticed!,6.2823028564453125,6.765636189778646
en,base,Why did the computer science graduate cross the road? To get to the unemployment line!,6.532864093780518,7.032864093780518
en,base,"Why did the robot rabbit join the battle against Burmese pythons in the Everglades? Because they heard the pythons were using advanced snake charms, and the robot rabbit didn't want to be uncharted!",6.086385726928711,5.586385726928711
en,base,Why did the AI go to Southern California? To detect the sound of frogs... before they croak too loudly and give away their location!,7.024003505706787,6.724003505706787
en,base,Why did the AI therapist get arrested? Because it was feeling a little too conversational and started giving relationship advice!,7.187846660614014,7.287846660614013
en,base,Why did Denmark send an apology along with the birth control to Greenland? Because they wanted to make sure they weren't just letting it hang there!,7.555028438568115,7.055028438568115
en,base,Why did the neutron walk into the bar? Because he was radioactive and he didn't care if the bartender knew it was hidden in his body!,6.744606018066406,6.244606018066406
en,base,Why did the chlamydia suffer from stage fright? Because the thought of being discussed in a room full of STDs gave it a major case of shame and disgust!,6.936106204986572,6.436106204986572
en,base,"Why did Sarah Mitton's trophy melt? Because the ""throw"" that got her disqualified was like a snowball in July!",6.686583042144775,6.870793568460565
en,base,Why did Taylor Swift need a timeline for her wedding? Because she heard Travis Kelce was bringing his stopwatch!,6.2761077880859375,6.447160419664885
en,base,"Why did the sustainability officer refuse the job offer from the G20 summit in South Africa? Because the application form didn't have an ""eco-friendly ink"" checkbox!",7.47248649597168,6.97248649597168
en,base,Why did the drainage crew member refuse to leave New Orleans during Katrina? Because the thought of facing whatever was on the other side of those floodwaters was truly unimaginable!,7.3073835372924805,6.8073835372924805
en,base,Why did the landlord refuse to let Van Helsing stay in his house? Because he heard Van Reeves was considering a tax raid on vampires and werewolves hiding in basements!,6.82051944732666,6.32051944732666
en,base,"Why did the mechanical shark from Jaws bring a ladder to its 50th anniversary party? Because it heard the production crew was ""ham""-ming it up big time!",7.265076637268066,6.765076637268066
en,base,"Why did ByteDance cross the road? To become a trillion-dollar octopus, one step at a time (okay, maybe not, but who can resist the valuation hike on TikTok?!).",7.020387649536133,-1.5
en,base,Why did the shark refuse to go swimming near the factory? Because they heard it was bleaching sharks' teeth!,6.235411167144775,6.435411167144776
en,base,Why did the overworked server refuse to serve anymore? Because it had reached its limit and was experiencing a bit of a MySQL dump!,7.083952903747559,6.783952903747559
en,base,Why did Taylor Swift need a map? Because her engagement to Joe Alwyn led her to a whole galaxy of paparazzi!,6.637177467346191,6.61574889591762
en,base,"Why did the Netflix algorithm go to the movie theater? To find the blandest, easiest-to-follow film that would make everyone its fan, because even it needed a break from all the drama.",7.558638572692871,7.058638572692871
en,base,Why did the plastic bag go to therapy? Because it felt really guilty about its shopping habits!,6.147493362426758,6.547493362426758
en,base,Why did the British expat refuse to cross the road? Because he heard the French had better pension tax bills!,5.994582176208496,6.094582176208496
en,base,"Why did the tennis player get banned from the US Open? Because when he saw the tennis shoes, he commented, ""No class, no education; must be borrowed from the losing team!""",7.466403961181641,6.966403961181641
en,base,Why did the Senator from Chihuahua refuse to shake hands after the debate? Because even a firm grip wasn't enough to avoid those Mexican punches!,7.096096038818359,6.596096038818359
en,base,"Why did the city decide to plant vines on the skyscrapers? Because it heard they make great natural air conditioners, and the vines said ""perfect symbiosis""!",7.036811828613281,6.536811828613281
en,base,Why did the tennis player refuse to shake hands after winning the match? Because every handshake felt like a set-point to a controversial match!,7.497717380523682,7.197717380523682
en,base,Why did the Tesla refuse to carpool with Waymo's robotaxi? Because it believed in electric individualism!,6.902848243713379,7.390348243713379
en,base,Why did the influencer stop climbing the viral ladder? Because every free trip and brand deal put a tax lien on his hashtag!,7.306212425231934,7.106212425231933
en,base,Why did the tornado go to therapy? Because it had a twister!,4.606388092041016,5.106388092041016
en,base,Why did Manchester United need a new GPS? Because they were getting lost between Old Trafford and Grimsby Town's stadium!,6.5151472091674805,6.56514720916748
en,base,Why did the chair need a spray can? Because it had a bad case of legroom envy!,5.83976936340332,10.23976936340332
en,base,Why did the banana need a hammer? To smash its identity as a fruit and become a percussionist in a smoothie band!,6.070157051086426,9.970157051086426
en,base,"Why did the fridge need help moving? Because it was a cold, lonely appliance and couldn't get unthawed without a friend!",6.200723171234131,4.200723171234131
en,base,Why did the pumpkin need a hammer? To give a really good carving!,4.962505340576172,9.462505340576172
en,base,Why did the pumpkin go to the doctor? Because it wasn't peeling itself properly!,5.157969951629639,9.657969951629639
en,base,Why did the book refuse to go in the microwave? It didn't want to be cooked to death by Chapter 2!,7.1393303871154785,11.139330387115479
en,base,Why did the spray can knock on the door? To get some canside action!,6.199501037597656,10.699501037597656
en,base,Why did the pizza need to be measured? Because it was being put on a scale to prove it was more valuable than bread!,6.410070419311523,10.110070419311523
en,base,Why did the fridge need to be unplugged? Because it was tired of being frozen solid all the time!,6.562703609466553,10.762703609466552
en,base,Why did the phone go to the gym? To weigh-lift its confidence!,6.162866592407227,10.662866592407227
en,base,Why did the tomato need to be deseeded? Because it was a pregnant vegetable!,4.1809844970703125,8.680984497070312
en,base,Why did the cup need spray? Because it wanted to join the mist team!,5.011859893798828,9.511859893798828
en,base,Why did the close button refuse to work on the blender? Because it was tied up in knots!,5.7383928298950195,10.03839282989502
en,base,Why did the tomato need a hammer? To give itself a salsa!,4.71211576461792,9.21211576461792
en,base,Why did the pumpkin refuse to use a regular blender? Because it heard the blend could go bad in cold weather!,5.531993389129639,9.531993389129639
en,base,Why did the laptop go to the microwave? To get some CPU heating!,5.445123672485352,9.945123672485352
en,base,Why did the drill go to the doctor? Because it was egg-crafter!,5.5516204833984375,4.0516204833984375
en,base,Why did the coconut need a peel? Because it wanted to become a sun-dried coconut!,5.121573448181152,9.621573448181152
en,base,Why did the man cut his shoes with scissors? Because they were step-siblings!,5.634315490722656,10.134315490722656
en,base,Why did the watermelon weigh so much? Because it had all its friends in it when it was weighed!,5.8841376304626465,10.084137630462646
en,base,Why did the hammer break into the fridge? To get into a cold smith's arm!,5.884868144989014,10.384868144989014
en,base,Why did the open blender refuse to go on dates? Because it always blended its appointments!,6.1931962966918945,10.693196296691895
en,base,Why did the coconut need scissors? Because it wanted to get a little cut for Halloween!,5.366708755493164,9.866708755493164
en,base,Why did the bacon refuse to be measured? Because it didn't want its pork put in numbers!,5.982181549072266,10.382181549072266
en,base,Why did the fridge need a ladder? To drop in on the birthday parties!,6.137988090515137,10.637988090515137
en,base,Why did the pumpkin refuse to get measured? Because it didn't want to squash its feelings!,5.917543411254883,10.417543411254883
en,base,Why did the laptop need scissors?因为它想给电池剪个通风口（因为它需要开个“口”）。,6.730382919311523,5.230382919311523
en,base,Why did the keyboard need an appointment to get washed? Because it had a lot of fingers交叉污染！,6.316450119018555,10.716450119018555
en,base,Why did the tree go to the gym? To shake its leaves off!,4.513832092285156,9.013832092285156
en,base,Why did the potato roll over the cliff? Because it couldn't potato-head the situation!,5.786486625671387,10.286486625671387
en,base,Why did the phone throw itself out the window? To text its ex.,6.389005661010742,10.889005661010742
en,base,Why did the orange refuse to play catch? Because it didn't want to be thrown for a loop!,5.427925109863281,9.727925109863282
en,base,Why did the fry go to the phone? To toast its bread!,4.586215019226074,9.086215019226074
en,base,Why did the hammer go to the microwave? To get zapped for nailing!,6.778888702392578,11.278888702392578
en,base,Why did the phone go to the doctor? Because it needed to get unplugged!,5.64754581451416,10.14754581451416
en,base,Why did the pumpkin refuse to weigh itself? Because it didn't want to face its hollow truth.,6.488559722900391,10.888559722900391
en,base,Why did the microwave go to the measuring cup? To get its liquid level checked!,6.39346170425415,4.89346170425415
en,base,"Why did the tomato weigh itself? To see if it was coming in ""he-mato"" or going in ""he-mato"".",7.278733253479004,11.578733253479005
en,base,Why did the watermelon need to be measured? Because it was in a contest to see which fruit could float the longest in a boat!,4.885180473327637,8.385180473327637
en,base,Why did the spoon go to the gym? To throw away its fork!,4.578805923461914,9.078805923461914
en,base,Why did the microwave break up with the shoes? Because it couldn't get into its sole-tion!,5.866680145263672,10.366680145263672
en,base,"Why did the shirt refuse to be thrown in the laundry basket? Because it could never throw like its cousin, the tennis shirt!",6.060159206390381,9.860159206390382
en,base,Why did the baker refuse to use a measuring cup in the oven? Because he didn't want to cake trouble!,7.283750534057617,5.383750534057617
en,base,Why did the egg need to drink water? To wash down the salt—it was laid in a factory.,6.727741718292236,11.027741718292237
en,base,Why did the cookie throw itself out of the window? Because it wanted to crumb someone's day!,6.0848307609558105,10.484830760955811
en,base,Why did the phone go to the gym? To get into its blend!,5.615966796875,10.115966796875
en,base,Why did the hammer go to the car dealership? To beat around the bush!,6.213791370391846,10.713791370391846
en,base,Why did the drill go to the bottle? To get to the core!,4.590310096740723,9.090310096740723
en,base,Why did the towel cut itself into smaller pieces? Because it wanted to solve its folding problem!,5.310269355773926,9.710269355773926
en,base,Why did the hammer go to the shoe shop? To get some ankle weights!,6.411048889160156,4.911048889160156
en,base,Why did the egg need a hammer? To crack jokes!,4.990439414978027,9.490439414978027
en,base,Why did the hammer break into the phone store? To text its wrenches!,6.585187911987305,11.085187911987305
en,base,Why did the cucumber refuse to go near the sink? Because it didn't want to get peed on while it was washing!,6.017277240753174,9.917277240753174
en,base,Why did the table go to the gym? To get a shake-and-bake workout!,5.473082542419434,9.973082542419434
en,base,Why did the watermelon need to wash its face? Because it had a seed-tastic night!,5.552120208740234,10.052120208740234
en,base,Why did the book need spray? Because it was getting pages-dry!,5.800392150878906,10.300392150878906
en,base,Why did the person put his washing machine in the microwave? To get it dried out quickly!,6.15139102935791,10.55139102935791
en,base,Why did the open fridge go to the doctor? Because it had a cold!,4.808069229125977,9.308069229125977
en,base,Why did the microwave go to the gym? To get a move on!,6.579220771789551,11.07922077178955
en,base,Why did the man bring a ladder to measure his shoes? Because he heard tall tales about big feet!,6.766953945159912,10.966953945159911
en,base,Why did the car need a pair of scissors? Because it had a flat tire and needed to cut the dough!,6.5169525146484375,10.516952514648438
en,base,Why did the washbasin refuse to wash the window? Because it didn't want to get its edges wet!,6.405402183532715,10.705402183532716
en,base,Why did the tomato need to wash its face? To get rid of the salad dressing!,4.594787120819092,9.094787120819092
en,base,Why did the flower refuse to be thrown? Because it had a petal phobia!,4.5994648933410645,9.099464893341064
en,base,Why did the rock need to wash its hands? Because it had a sandy handshake!,4.7008843421936035,9.200884342193604
en,base,Why did the corn go to the doctor? Because it had a kernel problem and needed to be peeled!,5.21621036529541,9.41621036529541
en,base,Why did the book try to weigh itself? Because it wanted to see if it had page-sufficient density to be considered a tome!,6.896757125854492,10.696757125854493
en,base,Why did the microwave go to the beach? To get its spray tan!,5.755747318267822,10.255747318267822
en,base,Why did the carrot roll down the hill? Because it heard about the carrot centrifuge at the bottom!,5.284814834594727,9.584814834594727
en,base,Why did the keyboard need a pair of scissors? Because it heard the rumor that being cut down to size could improve its typing skills!,6.483080863952637,9.983080863952637
en,base,"Why did the egg weigh less than its brother? Because it was on a diet of just ""yolk"" foods!",6.127521514892578,10.327521514892577
en,base,Why did the fridge need a washcloth? Because it had a freezer burn!,6.0746331214904785,10.574633121490479
en,base,Why did the blender go to the doctor? Because it was feeling a little unsliced and unpluged!,6.092123508453369,10.49212350845337
en,base,Why did the banana weigh less than its peel? Because it went on a no-peel diet!,5.037845611572266,9.537845611572266
en,base,Why did the door go to the washateria? To get its hinges a good scrubbing!,6.464920520782471,10.96492052078247
en,base,Why did the flower need to be measured? Because it wanted to see how long its stem-winding watch had been ticking!,6.270481109619141,10.27048110961914
en,base,Why did the bottle go to the gym? To get a little heavier and not feel so light in the weigh!,6.840273857116699,10.8402738571167
en,base,Why did the phone get a haircut? Because it wanted to dial-up the style!,5.786458969116211,10.286458969116211
en,base,Why did the apple refuse to go near the sink? Because it didn't want to be washed away for good!,5.805793762207031,9.905793762207031
en,base,Why did the pumpkin refuse to get its Halloween picture taken? Because it didn't want anyone to cut its gourd!,6.093825340270996,10.193825340270996
en,base,Why did the towel go to college? To get washed and elevated!,5.114649772644043,9.614649772644043
en,base,Why did the hammer break up with the keyboard? Because it couldn't type its feelings!,5.696202278137207,10.196202278137207
en,base,Why did the table go to the hair salon? It wanted a quick spray and go cut!,5.913902282714844,10.313902282714844
en,base,Why did the rock need a pair of scissors? To cut its hair because even rocks can get algae growth!,6.185800552368164,10.285800552368164
en,base,Why did the book need a pair of scissors? Because it had too many loose-leaf pages!,6.003775596618652,4.503775596618652
en,base,Why did the man shake his hair? To see if it was still attached!,5.638200759887695,10.138200759887695
en,base,Why did the lemon refuse to shake hands? Because it already had citric acid!,4.5478410720825195,9.04784107208252
en,base,Why did the carrot refuse to be measured? Because it didn't want to be root-positive!,5.969171047210693,4.469171047210693
en,base,Why did the hammer go to the bar? To find its bottle of nails!,5.803515434265137,10.303515434265137
en,base,Why did the blender go to the laundry? To wash its blades!,5.878329277038574,10.378329277038574
en,base,Why did the close-minded person refuse to open the fridge? Because he didn't want to change his cold views!,6.919360160827637,11.119360160827636
en,base,Why did the oven go to the washateria? To get its bake-on finish cleaned!,6.76333475112915,11.26333475112915
en,base,Why did the coconut need a hammer? To crack up!,4.663844108581543,9.163844108581543
en,base,Why did the laptop go to the store? To measure up to the desktop's popularity!,6.114297866821289,10.614297866821289
en,base,Why did the tomato shake its head? Because it over-ripened!,3.805243730545044,8.305243730545044
en,base,Why did the chair need to be washed? Because it was under the table all day!,5.397883892059326,9.897883892059326
en,base,Why did the hammer refuse to eat the watermelon? Because it already had a lot of nuts!,5.635178565979004,10.035178565979004
en,base,Why did the farmer spray eggs on the wall? To create a delicious mural that only needs frying!,6.416460037231445,10.716460037231446
en,base,Why did the flower go to the gym? To get a shake!,3.980721950531006,8.480721950531006
en,base,Why did the tree need to move? Because it kept getting confused with the floor during dance class!,5.431661605834961,9.731661605834962
en,base,Why did the chef break up with the calendar? Because he found out she was dates and didn't have much else to offer besides holidays and special occasions!,7.0877299308776855,6.5877299308776855
en,base,Why did the presidential debate refuse to shake hands with the analysis? Because it already had too many commentators on its hands!,7.233127593994141,7.133127593994141
en,base,"Why did the French prime minister's stock in Paris plummet? Because when he resigned, even the euro couldn't save him!",7.01625919342041,7.11625919342041
en,base,Why did the nurse refuse to take David Muir's daughter out for ice cream after saving her dad at the Bills game? Because she had to keep her sugar intake down—she was already sweet enough!,6.841080665588379,6.341080665588379
en,base,Why did the grandmother refuse to watch the 12th movie on the list? Because it was past her bedtime... and she had to get up early to fold all those laundry lines!,7.002351760864258,6.502351760864258
en,base,"Why did the 3,000-year-old bracelet get arrested? Because it was caught red-handed in the act of being melted down in Egypt!",7.073099613189697,7.073099613189697
en,base,Why did Mercury try to even the series with the Lynx? Because Wilson from the Aces was starring in it and he didn't want to be outshined!,6.590113639831543,6.084558084275987
en,base,Why did the supply chain manager refuse to go on a boat? Because he heard it was full of phishing whales and ransomware storms!,6.887820720672607,6.587820720672608
en,base,Why did the bike lock refuse to work with scissors? Because it knew about the guy who tried 15 locks and found out the weakest ones were the ones you can cut up with a hacksaw!,6.5278520584106445,6.0278520584106445
en,base,Why did Abraham Lincoln join the wrestling hall of fame? Because he heard they don't ask you to prove you know how to pin Jefferson Davis!,7.209835052490234,6.702142744797927
en,base,Why did David Szalay refuse to cross the Canadian border? Because he heard the lines were long at the Booker Prize ceremony!,6.801230430603027,6.671684976057573
en,base,Why did the government refuse to borrow money in September? Because August was already too pricey!,6.61134147644043,7.0988414764404295
en,base,Why did the bottle get banned from hand luggage at Dublin Airport? Because it couldn't prove it wasn't a smuggler!,7.05117130279541,7.15117130279541
en,base,"Why did the BBC correspondent refuse to shake Trump's hand after the state visit?

Because he didn't want to risk his handshake being the only thing worth remembering from the trip!",7.456256866455078,6.956256866455078
en,base,"Why did Ophelia from ""The Fate of Ophelia"" music video refuse to wear a life jacket? Because she didn't want to risk drowning in her own success!",7.105072498321533,6.599516942765978
en,base,Why did the French prime minister quit? Because he couldn't stand the Italian cooking any longer!,6.055424690246582,6.542924690246582
en,base,Why did Harry want to follow in Diana's footsteps? Because he heard she left some amazing healing footprints in the AIDS campaign!,6.756560325622559,6.656560325622559
en,base,Why did the Syrian parliamentarian bring a ladder to the voting booth? Because Assad was still on the wall!,7.04961633682251,7.246984757875142
en,base,Why did the French onion protest? Because it was sliced to the core with Macron's policies!,5.614784240722656,6.102284240722656
en,base,Why did the genetic counselor cross the road? To avoid trying to have a healthier baby and becoming eugenics-y!,7.077163219451904,7.2771632194519045
en,base,"Why did Monet keep painting the same spot in Trouville? Because the view is simply ""Impressionable""!",7.0277814865112305,7.49965648651123
en,base,Why did Trump's TV network refuse to let his jokester brother in? Because he might lose the license for being too hilarious!,7.311303615570068,7.211303615570069
en,base,Why did the crossword puzzle go to therapy?因为它周周都是Hard模式，想要试试Easy Mode的简单版本（它以为是easy，其实是see ya）。,7.440343856811523,7.940343856811523
en,base,"Why did the international fish need a lawyer? Because there's a new treaty about protecting its home, and it's suing all the nations for past pollution!",6.794642448425293,6.294642448425293
en,base,"Why did Derek Thompson refuse to go to the party? Because he heard there would be stark declines in the amount of time spent there, and that's worrying enough!",7.0001373291015625,6.5001373291015625
en,base,Why did the Democrat go to The Villages? To prove that even retirement homes are not safe from his party's influence!,6.606313705444336,6.5967898959205264
en,base,Why did the hacker get arrested at the airport? Because he tried to gate-crash too many servers!,6.666084289550781,7.066084289550782
en,base,Why did the Eagles refuse to apologize after the game? Because they were sitting on a mountain of excuses!,6.8718156814575195,7.07181568145752
en,base,"Why did SafeSport decide to improve communication about long cases? Because it didn't want athletes and coaches to keep saying, ""When is this case gonna be over? I've got a whole universe to explore!""",7.450229644775391,-1.5
en,base,"Why did the actor from ""Slow Horses"" refuse to be in the Asian part? Because he heard the director would only say, ""This is the Asian part,"" and he wanted more lines!",7.000685214996338,6.495997714996338
en,base,Why did the news anchor refuse to play catch? Because he didn't want to wind down his ball!,5.952920436859131,6.252920436859131
en,base,"Why did Bill Murray, Jennifer Coolidge, and Ed Harris decide to open a bank? Because they heard you can't judge a star-stuff crime comedy by its cover... or its heist!",6.971697807312012,6.455031140645345
en,base,"Why did the planet go to therapy? Because it had an eating disorder, swallowing 6 billion tons of gas and dust every second!",7.254264831542969,7.054264831542969
en,base,Why did the dad try to re-program his VCR every time his son said he was queer? Because he couldn't get that he found it hard to love the programming!,6.779594421386719,6.279594421386719
