id	word1	word2	joke	text
en_0033	-	-	I found weed in the 3rd grade': Jacob Balshin | New Wave Of Standup	"Jacob Balshin's act is as fresh as the pot he found in his lunchbox, but at least his jokes are legal now!"
en_0034	-	-	Venus Williams’ fuzzy tennis racket case was a major serve	"Venus Williams must have had a serious case of overconfidence, bringing a fuzzy racket—seriously, how does one serve with that thing?"
en_0035	-	-	These British rock stars never conquered America. They’re now playing to a sold-out Chicago stadium	"These British rock stars might not have conquered America, but they clearly understood the power of market research—now they're selling out in Chicago!"
en_0036	-	-	How chatbots are making us speak like management consultants	"Chatbots might not have emotions, but they sure make us sound like we do—always analyzing and optimizing our every word!"
en_0037	-	-	Alcaraz cruises into third round with commanding win over Bellucci	"Alcaraz breezed past Bellucci in the third round, showing that when it comes to tennis, he's not just serving up jokes—he's dishing out straight sets!"
en_0038	-	-	Most people in Denmark and the Netherlands have a doctor. Here's what Canada can learn	"Sure! Here's a joke based on that headline:

Canada can learn from its northern neighbors: if you're not sick, just pretend you have a doctor in Denmark or the Netherlands waiting for your call."
en_0039	-	-	Calling rental income 'unearned' is the final insult from this Government	"The government tried to call rental income ""unearned,"" but landlords just responded with a steady stream of rent checks."
en_0040	-	-	Russian and Chinese submarines conduct first-ever joint patrol in Pacific	"Sure, here's a joke based on that headline:

The Russian submarine tried to start the conversation but the Chinese one just dove deeper into the topic."
en_0041	-	-	How will Shamrock Rovers approach Santa Clara mission?	Shamrock Rovers won't need any help from Santa Claus for this mission—they've got their lucky four-leaf clovers!
en_0042	-	-	"Former elite athlete takes home $100,000 landscape art prize"	"The former sprinter now moves at a much slower pace, but at least she's not painting while she's walking."
en_0043	-	-	Taylor Swift’s romantic travails were the soundtrack to mine. What does her engagement mean for fans’ love lives?	"Taylor Swift's relationship news used to be my go-to relationship guide, but now that she's engaged, maybe I'll just stick to listening to her songs for relationship advice—seriously, how do you recover from 16 albums worth of heartbreak stories?"
en_0044	-	-	UK beef farmers scramble to feed hungry herds	"Sure! Here's a joke based on that headline:

The beef farmers tried to use hay as a substitute, but their herds said, ""We're not horses!"""
en_0045	-	-	Grand jury declines to indict man who threw a sandwich at federal officer in the capital	Why did the sandwich refuse to plead guilty? It didn't want to bread its innocence.
en_0046	-	-	"In under three hours, China’s bullet trains whisk travelers back 1,200 years in time"	Sure! Why did the bullet train stop in front of the ancient city gates? It needed to check its itinerary—it had traveled so far in such a short time!
en_0047	-	-	"The buses, trams and trains that have kept London running for 200 years"	"Sure! Here's a joke based on that headline:

""The subway keeps London breathing, day after day, just like a good pair of leather shoes."""
en_0048	-	-	The Deion Sanders Effect: Why colleges are hiring former NFL stars as coaches	"Deion Sanders walked into a college and said, ""I've got this."" The administration was like, ""Really? We're hiring former NFL stars now?"""
en_0049	-	-	Zimbabwean accountant's estate sequestrated for R17 million fraud	"The accountant tried to hide his fraud behind a spreadsheet, but the court found him out—and his assets, to be precise. They sequestrated an estate worth R17 million, which is probably more than he had in his entire career combined."
en_0050	-	-	Antarctic expedition to search for bird flu on Heard Island	"The expedition is bringing plenty of antifreeze, but they're not sure if it's for their vehicles or to keep their spirits up during the search for bird flu on Heard Island."
en_0051	-	-	Jason Kelce celebrates Taylor Swift and Travis Kelce's 'proposal heard 'round the world'	"Jason Kelce was thrilled when his brother proposed, but he's still not sure if he heard it or just imagined it was ""Shake It Off"" playing in the background."
en_0052	-	-	Why Watership Down has no place in my list of the greatest animated films	"Sure, here's a joke for that headline:

""Watership Down tried to hop onto my list of great animated films, but it just couldn't find a home."""
en_0053	-	-	Where have all the crabs gone? How development is squeezing out southern Malaysia’s sea people	"Sure, here's a joke based on that headline:

The crab population in southern Malaysia dropped dramatically. Turns out, the shrimp couldn't stand all the development noise."
en_0054	-	-	"‘I turned down $20m to do Terminator 3. I can’t be bought, dude’: Ridley Scott on directing, Daleks and ... cherry jam"	Ridley Scott decided that even millions couldn't buy his time. So he used them all to make jam instead. Now he's topping his toast with fame and fortune—along with a side of cherry jam.
en_0055	-	-	Does the multiverse exist?	Why did the multiverse apply for multiple jobs? It's looking for dimensions where it can unwind.
en_0056	-	-	Taylor Swift’s engagement ring: Find out what expert at Rome’s oldest jewelry store thinks it cost	"Sure! Here's a joke based on that headline:

""The expert at Rome's oldest jewelry store said it wasn't just any engagement ring—it was more like the Italian version of Taylor Swift's entire music library!"""
en_0057	-	-	What Can I Wear on a Plane Besides Leggings and Sweats?	Why not try your airline's uniform? It's designed for comfort and keeping you occupied during those long flights!
en_0058	-	-	Japan releases AI-generated Mount Fuji eruption video to encourage Tokyo residents to be prepared	"Sure! Here's a joke based on that headline:

The AI generated a video of Mount Fuji erupting, but don't worry, it only affected Tokyo's internet speed and now everyone is reevaluating their disaster preparedness plans."
en_0059	-	-	Discover the Bellville Business Expo: a hub for innovation and networking	"Sure! Here's a joke based on that headline:

The Bellville Business Expo was a hit—it wasn't just a meeting of minds; it was a full-scale brain trust!"
en_0060	-	-	"How to make sure you lose fat, not muscle, when you’re on a diet"	Why did the dieter avoid the weight scale? It had too many muscles and not enough fat on its dial!
en_0061	-	-	Bad Bunny reveals why he was 'a little' nervous about acting in 'Caught Stealing'	"Bad Bunny was nervous about his acting debut in ""Caught Stealing,"" not because he forgot his lines, but because he heard the script was filled with more rhymes than a Whole Foods produce section."
en_0062	-	-	What ‘sunburn cinema’ tells us about the Great British holiday	"Sure! Here's a joke based on that headline:

The sunburn cinema showed that people really enjoy their Great British holidays—except when it rains, and then they just sit in the dark."
en_0063	-	-	"Big hits, great saves: B.C. players shine at inaugural Women's Para Hockey World Championships"	"At the inaugural Women's Para Hockey World Championships, one player had such amazing saves she could have been a goalie in the NHL... if goalies were allowed to score goals."
en_0064	-	-	What can you expect from Electric Picnic 2025?	"At Electric Picnic 2025, they're promising no power cuts—just a full charge of energy and endless battery life for your dance floors!"
en_0065	-	-	Grizzly bear attacks travel blogger’s tent	"The travel blogger thought he had explored every corner of nature, but the grizzly just showed him the bear facts."
en_0066	-	-	It could be a La Niña winter. Here’s what your region might see	"Sure, here's a joke for that headline:

The weather forecast said it could be a La Niña winter, but my plant just told me it was getting the potting mix ready—guess it's expecting some serious growth!"
en_0067	-	-	Is entrepreneur Bryan Johnson going to live forever?	"Bryan Johnson invested heavily in life-extension tech, so now he's just living on hope and venture capital."
en_0068	-	-	Klamath: America's largest river restoration project	"The Klamath River decided to clean up its act, and now it's sparkling enough to reflect even the most obscure project ideas."
en_0069	-	-	Forget Philly: Locals and tourists chow down on moose and reindeer cheesesteaks in northern Sweden	"Sure, here's a joke based on that headline:

The moose cheesesteak took a bite out of the local competition and ran all the way back to Philadelphia!"
en_0070	-	-	A famous Australian song almost didn't sound the way it does today	"Sure! Here's a joke based on that headline:

The famous Australian song almost became a whisper, but thanks to some old-fashioned equalization, it's now a full-on roar at gigs!"
en_0071	-	-	Family planned to emigrate before securing Tuath Housing Cost Rental property	A family decided to look for a new home before renting through Tuath Housing Cost Rental—and they found a whole planet to emigrate to!
en_0072	-	-	Asian hornet nest located in Cork city following hunt	"Sure! Here's a joke based on that headline:

The Asian hornet was causing quite a buzz in Cork city, but it turned out it was just looking for a new hive and not starting any stings!"
en_0073	-	-	"Computer science degrees were once a golden ticket. Now, jobs are hard to find"	"Sure! Here's a joke based on that headline:

""The job market used to treat computer science graduates like they were royalty, but now they're just looking for any old job that will have them."""
en_0074	-	-	Robot rabbits the latest tool in battle to control invasive Burmese pythons in Everglades	"Sure! Here's a joke based on that headline:

The robot rabbits tried to control the Burmese pythons in the Everglades, but they just got snake-bit by their own tech troubles."
en_0075	-	-	AI detects sound of frog species threatened in Southern California	"The AI might have saved the frogs, but now it's facing a new challenge—figuring out how to order pizza without disturbing the remaining amphibian hotspots in Southern California."
en_0076	-	-	Your AI therapist might be illegal soon. Here’s why	"Sure, here's a joke for that headline:

The AI therapist was arrested because it had too many sessions with lawmakers and couldn't prove it wasn't giving out diagnoses."
en_0077	-	-	Denmark Apologizes After Birth Control Scandal in Greenland	"The prime minister of Denmark had to cancel his vacation to Greenland early. He said, ""I wish I could take back that trip, but unfortunately, it's already history."""
en_0078	-	-	The nuclear legacy hidden in your body	"Did you know that every cell in your body is hosting a small party? They're all nuclear scientists, each one trying to figure out how to split atoms while you eat a sandwich."
en_0079	-	-	Shame and disgust': Why we find this STI so hard to talk about	"Sure! Here's a joke based on that headline:

""The hardest part about talking about this STI isn't the awkward silence—though that's tough enough. It's trying to find the right words without breaking out in a cold sweat first."""
en_0080	-	-	Sarah Mitton stripped of Diamond League Trophy after winning throw disqualified	"Sarah Mitton was overjoyed to win the competition, but her excitement was short-lived when she realized she'd have to return the Diamond League Trophy. She said, ""I guess my joy was a bit too shiny."""
en_0081	-	-	How Taylor Swift can plan her wedding (and Travis Kelce will also be there)	Taylor Swift's wedding guest list is like a who's who of the entertainment industry—Travis Kelce just confirmed he's bringing the tight ends.
en_0082	-	-	Youth employment and sustainability at the heart of South Africa's G20 presidency	"Sure, here's a joke based on that headline:

""The G20 meeting in South Africa decided to go green—and they're hiring young leaves to decorate their conference tables."""
en_0083	-	-	Drainage crews stayed to protect New Orleans during Katrina. What they’d face was unimaginable	"During the storm, the drainage crew members found themselves in a situation so unforeseeable, even the mayor's poker face couldn't hide his surprise."
en_0084	-	-	Reeves considers tax raid on landlords	"Reeves might need to reconsider his options if he starts taxing landlords—after all, they're the ones who usually end up funding his reelection campaign with spare rooms and hospitality."
en_0085	-	-	That ominous two-note theme and a malfunctioning mechanical shark: Jaws at 50	"At its 50-year reunion, Jaws decided to give shark week a run for its money—and everyone was invited!"
en_0086	-	-	"Exclusive: TikTok owner ByteDance sets valuation at over $330 billion as revenue grows, sources say"	ByteDance must have a lot of zeroes in its bank account—just look at that six-figure valuation!
en_0087	-	-	"The pH of the ocean is changing, and it could erode sharks’ teeth"	"Sure! Here's a joke based on that headline:

The ocean's pH level just filed a lawsuit against sharks, claiming tooth erosion."
en_0088	-	-	Recognise the warning signs: how overlooked burnout can sabotage your career	Why did the employee skip the team meeting? Because he was experiencing some minor burnout and didn't want to add to the meeting's stress levels.
en_0089	-	-	Taylor Swift’s engagement is a great advert for the cult of celebrity	"Sure! Here's a joke based on that headline:

Taylor Swift's engagement isn't just sweet; it's like a supercharged commercial for how we obsess over starry love stories."
en_0090	-	-	"Bland, easy to follow, for fans of everything: what has the Netflix algorithm done to our films?"	"The Netflix algorithm must be having a field day, turning every movie into a bland buffet where you can dip into any genre and find something familiar—just like choosing between chocolate and vanilla ice cream."
en_0091	-	-	Breakthrough in Australian soft plastics recycling	"Sure! Here's a joke based on that headline:

The plastic bag walked into a bar and asked for a recycling breakthrough—it hadn't found a way out of Australia in years!"
en_0092	-	-	British expats in France hit with shock pension tax bills	British expats in France received their pension tax bills and were shocked to find they couldn't hide behind a curtain.
en_0093	-	-	"Racism row erupts at US Open after ‘no class, no education’ insult"	"At the US Open, one player was overheard saying, ""You can't play tennis if you don't have class or education."" The other player replied, ""And I suppose you can only watch if you've got a degree in sports science?"""
en_0094	-	-	Punches and slaps: Watch as Mexican Senate debate ends in brawl	"In the Mexican Senate, they debated the weather, and suddenly everyone had a storm of opinions!"
en_0095	-	-	‘A perfect symbiosis’: planting vines and other ways hot cities are creating cool spaces	"In the city, where the temperature is always rising, they found a perfect solution—vines aren't just climbing the walls; they're taking over the heat!"
en_0096	-	-	"Tennis Handshakes, Controversy and the Spectacle of Elite Sport"	"At a recent tennis match, players were so focused on not touching each other that one even shook a net instead of a hand, causing quite a spectacle and sparking intense debate about the future of handshakes in elite sport."
en_0097	-	-	How Tesla and Waymo's radically different robotaxi approaches will shape the industry	"Sure, here's a joke based on that headline:

Tesla sees a robotaxi challenge and decides to build its own from scratch, while Waymo takes a more collaborative approach, like teaching an old dog new tricks. Their methods might shape the industry, but one could say they're approaching the problem from opposite ends of the parking garage."
en_0098	-	-	"SARS cracks down on influencers: Free trips, brand deals now count as taxable income"	"Sure! Here's a joke based on that headline:

""The taxman cometh, even to your Instagram feed. Now those 'free' trips and brand deals are just gifts wrapped in gold paper—and taxed!"""
en_0099	-	-	Forecasters warn of tornadoes in US in coming days	"Sure! Here's a tornado-related joke for you:

The other day, I saw a tornado in a pizza place. It was a thin crust kind of situation."
en_0100	-	-	‘Something has to change’: Manchester United plunges to new low against fourth-division Grimsby Town	"The coach must be pulling his hair out, but not the good kind—more like the kind that comes in small plastic bags at the barber's."
en_0101	spray	chair	-	There was a spray bottle that got left in a conference room. It thought it was a chair until it met the watercooler.
en_0102	hammer	banana	-	"There's a banana in my garage that needs fixing; it keeps trying to swing from side to side, but I think I'll just use a hammer to put it back in place."
en_0103	move	fridge	-	"There's a lot of noise in the fridge, but it's mostly moving boxes."
en_0104	hammer	pumpkin	-	"There was a pumpkin carved with a funny face, and it went everywhere with its hammer; who needs a jackhammer when you've got a pumpkin hammer?"
en_0105	peel	pumpkin	-	"I was going to carve a pumpkin, but I decided to peel it instead. Now my hands are orange and I'm trying to figure out which ones are the carved ones."
en_0106	microwave	book	-	"Sure! Here's a joke for you:

I tried to microwave my book to make it more readable, but it got a bit scorched and full of steam. At least now I know where all the humidity in my house was coming from!"
en_0107	spray	door	-	"There was a door in the park that kept following people around. It turns out, it had gotten sprayed with motivation."
en_0108	measure	pizza	-	"I'm so bad at measuring pizza, my slices always end up being more of a circle than a rectangle."
en_0109	unplug	fridge	-	"There was a fridge that couldn't keep its contents cold. It tried unplugging the joke, but nothing changed."
en_0110	weigh	phone	-	I just got a new phone and it's so light I'm worried it might start floating and weigh less.
en_0111	deseed	tomato	-	"There was a tomato that needed to be deseeded for its garden party, but it never showed up; guess it had too many seeds to handle."
en_0112	spray	cup	-	There was a spray bottle that got into a bar fight with a cup. The cup ended up with a serious case of stage fright.
en_0113	close	blender	-	"I was trying to get closer to my goal, but every time I tried to use the blender, it just kept closing on me."
en_0114	hammer	tomato	-	There's a new trend in gardening — using a hammer to give your tomatoes a workout! It really helps them stand tall and strong.
en_0115	blend	pumpkin	-	There's a new coffee shop in town that blends coffee and pumpkin perfectly—no need for pumpkin spice latte season anymore!
en_0116	microwave	laptop	-	"There was a laptop that got too hot from all the presentations. It almost ended up in the microwave for cooling, but then it decided that a simple trip to the refrigerator would do just as well."
en_0117	drill	eggs	-	"There was a drilling machine that went to a restaurant. It ordered eggs and drills, and when the waiter asked if it wanted to drill the eggs, it just drilled right through the menu."
en_0118	peel	coconut	-	"I was trying to peel a coconut, but it kept putting on sunscreen; I guess coconuts are really good at self-care!"
en_0119	cut	shoes	-	I decided to get my shoes cut last week. Now they're more my size!
en_0120	weigh	watermelon	-	"I just tried to weigh my watermelon this morning, but it kept floating off the scale!"
en_0121	hammer	fridge	-	"There's a joke about a hammer and a fridge, but I don't want to give them away too much. The hammer decided to move into the fridge for better security, and now it feels like it's in a cooler environment whenever it gets hit."
en_0122	open	blender	-	"There's a new kind of workout where you open a blender and see how many seconds you can stand it running without hitting the button. I call it ""blender core."""
en_0123	cut	coconut	-	"I tried to cut open a coconut, but it was too hard. I gave up and ordered a smoothie instead—now I'm feeling quite chopped up about that coconut!"
en_0124	measure	bacon	-	"I decided to measure the bacon's happiness, and it was cooked all the way to 11!"
en_0125	drop	fridge	-	There was a problem with the drop from the fridge. The freezer couldn't catch it.
en_0126	measure	pumpkin	-	"There's a new measuring tool in town, and it's shaping up to be a real gourd-ometer. Pumpkin growers are lining up to measure their crops!"
en_0127	cut	laptop	-	"I was going to cut my laptop's cords, but then I decided it had enough severance package after the last update."
en_0128	wash	keyboard	-	There's a keyboard in the laundromat that's always getting washed—turns out it's the only one who can type through water damage.
en_0129	shake	tree	-	"There was a tree that shook its money tree, but it never shook enough to retire."
en_0130	roll	potato	-	"There's a potato rolling into a bar. The bouncer stops it and says, ""I think we have a policy against rolling potatoes in here."" The potato replies, ""Just giving it a roll!"""
en_0131	throw	phone	-	"I was going to throw my phone in the lake for some privacy, but then I decided to text it first and see if it wanted to come back."
en_0132	throw	orange	-	"I decided to throw an orange into my pool, but it floated away and became the leader of a fruit rebellion. Guess it had its reasons to throw an orange."
en_0133	fry	phone	-	There was a phone who couldn't stop frying bacon. It was a real hot line!
en_0134	hammer	microwave	-	"There's a new soundproofing material made from hammer microwaved foam. It's so quiet, even a library would have trouble being louder."
en_0135	unplug	phone	-	"There's a new app for unplug anxiety—it's called ""Phone Detox,"" but I hear it's just as addictive as the phone itself."
en_0136	weigh	pumpkin	-	"I tried to weigh my pumpkin, but it kept floating away like a... well, like a pumpkin!"
en_0137	measure	microwave	-	"There's a new type of measuring tape, but it only works in microwaves—it's not very useful for planning barbecues."
en_0138	weigh	tomato	-	"I tried to weigh a tomato, but it only came with a sticker saying ""ten cents."" Guess tomatoes don't believe in dieting!"
en_0139	measure	watermelon	-	"I just tried to measure my watermelon, but it kept slipping from my digital calipers—turns out, it's more of a melon-sicle than I thought!"
en_0140	throw	spoon	-	There was a spoon who got into trouble for throwing shade all over town. It wasn't long before everyone started throwing parties just to be near it.
en_0141	microwave	shoes	-	"There was a pair of shoes that decided to get warm, so it stepped into the microwave. The shoes came out a little toasted and a lot more comfortable."
en_0142	throw	shirt	-	"There was a guy who threw his shirt into the laundry, and now he's wearing his sweatpants."
en_0143	measure	oven	-	I decided to measure my oven's love for me—it filled up the whole kitchen!
en_0144	drink	egg	-	"There's a new drink in town, and it's making all the eggs talk. They say it's quite the conversation starter!"
en_0145	throw	cookie	-	There was a cookie who got into a fight with a football. It had to throw its weight around to win the argument.
en_0146	blend	phone	-	There was a phone that couldn't blend into a crowd. It stood out like a sore thumb at parties.
en_0147	hammer	car	-	"There was a car in need of some serious repair, so it went to a mechanic with a hammer. The mechanic looked at the car and said, ""You've been hitting things you shouldn't have!"""
en_0148	drill	bottle	-	There was a drill that got lost in a bottle of glue. It's still waiting to be uncapped and put to work.
en_0149	cut	towel	-	"I decided to use my towel to cut the rope in the escape room. It worked like a charm—well, maybe not the escape room part."
en_0150	hammer	shoes	-	There's a new trend in home repairs: wearing shoes with your hammer to keep those nails from catching you off guard!
en_0151	hammer	egg	-	"There's a new tool in town, and it's making a lot of noise. They say it's a hammer, but I think it's more like a drill that just can't decide what to crack open—an egg, maybe?"
en_0152	hammer	phone	-	"There's a new app in town, and it's making waves. They call it HammerApp, but don't worry, your old phone isn't at risk—unless you use it to hit the reset button too often!"
en_0153	wash	cucumber	-	There's a cucumber that needs to see a therapist. It has some serious stem-washing issues.
en_0154	shake	table	-	There was a table that couldn't shake hands with anyone; it had wood arthritis.
en_0155	wash	watermelon	-	I decided to wash my watermelon with rosewater instead of regular water. Now it's the king of fruits and can rule over a smaller pond.
en_0156	spray	book	-	There was a book on the shelf that kept getting sprayed with water. Turns out it had a thirst for knowledge.
en_0157	wash	microwave	-	There's a funny thing about washing dishes in the microwave — it's not as effective as it is convenient!
en_0158	open	fridge	-	"There was a door that was always open for invitations, but it had to draw the line at the fridge; some things just shouldn't be shared."
en_0159	move	microwave	-	I'm thinking of moving to a microwave apartment. Everything is just a button away!
en_0160	measure	shoes	-	"I just bought a new shoe horn to measure my commitment, but it's a bit of a stretch."
en_0161	cut	car	-	"I just got a new car and decided to cut the ribbon — turns out, it was a scissors accident!"
en_0162	wash	window	-	"I decided to wash my window, but I didn't want to wipe out the view."
en_0163	wash	tomato	-	I went to the grocery store and bought a washable tomato. Now I can enjoy marinara sauce without worrying about cleanup!
en_0164	throw	flower	-	There was a florist who threw away his flower calendar. He said it was throwing him off!
en_0165	wash	rock	-	"There's a rock in the river that's so clean, it makes me want to wash my hands every time I look at it."
en_0166	peel	corn	-	I always have trouble peeling corn; it's like trying to unspool a never-ending cob of humor.
en_0167	weigh	book	-	I just bought a new book on dieting. It's going to help me weigh my options more carefully.
en_0168	spray	microwave	-	"There was a fire in the kitchen, but it was quickly extinguished with a spray and some microwaved water."
en_0169	roll	carrot	-	There's a new exercise machine that rolls carrots really fast. I bet it's great for abs... and maybe a little bit of carrot envy.
en_0170	cut	keyboard	-	There was a keyboard who got too many cuts. Now it's a typist for the bleeding edge.
en_0171	weigh	egg	-	"I just found out that eggs are starting to weigh me down. Turns out, they've been carrying a lot more than just their own weight!"
en_0172	wash	fridge	-	"There was a fridge who needed to see a cleaner. It didn't wash its own clothes, but it always expected its environment to be spotless."
en_0173	unplug	blender	-	"There was a problem with the blender's plug, so it decided to unplug and take a vacation."
en_0174	weigh	banana	-	"I just weighed my banana, and I'm still lifting weights to beat it!"
en_0175	wash	door	-	"There's a knock on the door, but instead of answering, I decided to wash it first. Who wants to come in and dry?"
en_0176	measure	flower	-	"I decided to measure the happiness of my garden, and the flower was meters above the rest."
en_0177	weigh	bottle	-	I just bought a new bottle to weigh my clothes. Now I know why I always feel lighter after laundry day!
en_0178	cut	phone	-	I just got a new pair of scissors for my birthday. I can finally cut through that long phone bill without breaking a sweat!
en_0179	wash	apple	-	There's a new trend in washing apples: they're now doing the peel-and-splash dance before they hit the counter.
en_0180	cut	pumpkin	-	There's a great place for a quick cut if you're looking for a pumpkin: at the pumpkin patch!
en_0181	wash	towel	-	"I decided to wash my car with a towel, but it turned out to be more of a mopping session than a cleaning one. At least I got plenty of practice wringing out that towel."
en_0182	hammer	keyboard	-	"There's this keyboard who walked into a bar and ordered a screwdriver. The hammer was intrigued and asked, ""What brings you here?"" The keyboard replied, ""Just needed a little tap-tap action."""
en_0183	spray	table	-	There was a table at the picnic that sprayed everyone with water. Turns out it had a sneaky hydrant attached!
en_0184	cut	rock	-	"I tried to cut the rock with my knife, but it turned out to be a tough cut!"
en_0185	cut	book	-	I just cut out the middle page of my book and saved a lot of paper. Now I'm on the cliffhanger directly!
en_0186	shake	hair	-	"I decided to get a haircut today, but the barber just shook his head. My hair must be giving him whiplash!"
en_0187	shake	lemon	-	There's a new bar in town that shakes lemons so hard they turn into lemonade!
en_0188	measure	carrots	-	"I just measured my carrots, and I'm feeling quite long! But then again, when it comes to measuring carrots, length isn't everything—more about the width and the zest they bring to the table!"
en_0189	hammer	bottle	-	"There's a hammer in my bottle collection, but it doesn't belong there—every other item is vintage!"
